code,name,collect_at,current_inventory
11803011,아란약국,2020-05-11 14:00:00,15
11803126,소화약국,2020-05-11 14:00:00,0
11854359,하나약국,2020-05-11 14:00:00,15
11854740,즐거운약국,2020-05-11 14:00:00,15
11855762,금화온누리약국,2020-05-11 14:35:00,15
11855789,방배프라자약국,2020-05-11 14:00:00,15
11874813,조은약국,2020-05-11 14:40:00,15
11878304,늘편한약국,2020-05-11 14:30:00,15
12808946,희망약국,2020-05-11 14:00:00,15
12810801,가온약국,2020-05-11 14:00:00,0
12824780,에이스온누리약국,2020-05-11 14:35:00,15
12833398,서초늘푸른약국,2020-05-11 14:05:00,15
12837962,양재시민의숲수약국,2020-05-11 14:00:00,15
12845345,이든약국,2020-05-11 14:00:00,15
12850047,기쁨약국,2020-05-11 14:50:00,15
12854239,한성약국,2020-05-11 14:00:00,0
12856401,약원한약국,2020-05-11 14:45:00,15
12857530,미소약국,2020-05-11 14:00:00,0
12866253,양재소망약국,2020-05-11 14:00:00,0
12868787,구슬약국,2020-05-11 14:10:00,0
