code,date,stock_at,plenty_time,last_state_time,last_state,time_interval,hour,demand_rate
11800208,2020-04-02,2020-04-02 08:16:00,2020-04-02 11:55:00,2020-04-02 19:25:00,some,0 days 07:30:00.000000000,7.5,26.666666666666668
11800208,2020-04-03,2020-04-03 08:12:00,2020-04-03 16:55:00,2020-04-03 17:35:00,some,0 days 00:40:00.000000000,0.6666666666666666,300.0
11800208,2020-04-06,2020-04-06 08:16:00,2020-04-06 08:20:00,2020-04-06 19:20:00,empty,0 days 11:00:00.000000000,11.0,27.272727272727273
11800208,2020-04-07,2020-04-07 08:13:00,2020-04-07 08:30:00,2020-04-07 17:30:00,empty,0 days 09:00:00.000000000,9.0,33.333333333333336
11800208,2020-04-13,2020-04-13 08:08:00,2020-04-13 08:10:00,2020-04-13 18:35:00,few,0 days 10:25:00.000000000,10.416666666666666,25.92
11800208,2020-04-14,2020-04-14 08:07:00,2020-04-14 08:15:00,2020-04-14 21:10:00,few,0 days 12:55:00.000000000,12.916666666666666,20.903225806451612
11800208,2020-04-20,2020-04-20 08:10:00,2020-04-20 08:15:00,2020-04-20 20:30:00,empty,0 days 12:15:00.000000000,12.25,24.489795918367346
11800208,2020-04-21,2020-04-21 08:04:00,2020-04-21 08:10:00,2020-04-21 21:15:00,empty,0 days 13:05:00.000000000,13.083333333333334,22.929936305732483
11800208,2020-04-22,2020-04-22 08:06:00,2020-04-22 12:10:00,2020-04-22 18:05:00,some,0 days 05:55:00.000000000,5.916666666666667,33.80281690140845
11800208,2020-04-23,2020-04-23 08:06:00,2020-04-23 08:15:00,2020-04-23 19:15:00,few,0 days 11:00:00.000000000,11.0,24.545454545454547
11800208,2020-04-24,2020-04-24 08:08:00,2020-04-24 08:15:00,2020-04-24 17:15:00,plenty,0 days 09:00:00.000000000,9.0,11.11111111111111
11800208,2020-04-27,2020-04-27 08:01:00,2020-04-27 08:05:00,2020-04-27 19:30:00,few,0 days 11:25:00.000000000,11.416666666666666,23.649635036496353
11800208,2020-04-28,2020-04-28 08:06:00,2020-04-28 08:10:00,2020-04-28 19:25:00,some,0 days 11:15:00.000000000,11.25,17.77777777777778
11800208,2020-04-29,2020-04-29 08:17:00,2020-04-29 08:25:00,2020-04-29 12:35:00,plenty,0 days 04:10:00.000000000,4.166666666666667,24.0
11800208,2020-05-04,2020-05-04 08:07:00,2020-05-04 08:10:00,2020-05-04 08:10:00,plenty,0 days 00:00:00.000000000,0.0,8.333333333333334
11800208,2020-05-06,2020-05-06 08:12:00,2020-05-06 10:30:00,2020-05-06 20:30:00,some,0 days 10:00:00.000000000,10.0,20.0
11800208,2020-05-07,2020-05-07 08:08:00,2020-05-07 08:15:00,2020-05-07 20:20:00,some,0 days 12:05:00.000000000,12.083333333333334,16.551724137931032
11800208,2020-05-08,2020-05-08 08:11:00,2020-05-08 08:20:00,2020-05-08 08:20:00,plenty,0 days 00:00:00.000000000,0.0,8.333333333333334
11800208,2020-05-11,2020-05-11 08:11:00,2020-05-11 08:15:00,2020-05-11 20:50:00,few,0 days 12:35:00.000000000,12.583333333333334,21.456953642384104
11802090,2020-04-01,2020-04-01 11:22:00,2020-04-01 11:30:00,2020-04-01 11:30:00,plenty,0 days 00:00:00.000000000,0.0,8.333333333333334
11802090,2020-04-06,2020-04-06 08:58:00,2020-04-06 09:15:00,2020-04-06 20:10:00,some,0 days 10:55:00.000000000,10.916666666666666,18.320610687022903
11802090,2020-04-07,2020-04-07 11:07:00,2020-04-07 11:15:00,2020-04-07 11:15:00,plenty,0 days 00:00:00.000000000,0.0,8.333333333333334
11802090,2020-04-14,2020-04-14 09:56:00,2020-04-14 10:05:00,2020-04-14 10:05:00,plenty,0 days 00:00:00.000000000,0.0,8.333333333333334
11802090,2020-04-27,2020-04-27 08:54:00,2020-04-27 13:55:00,2020-04-27 22:00:00,few,0 days 08:05:00.000000000,8.083333333333334,33.4020618556701
11802090,2020-04-28,2020-04-28 08:49:00,2020-04-28 08:55:00,2020-04-28 15:30:00,plenty,0 days 06:35:00.000000000,6.583333333333333,15.18987341772152
11802090,2020-05-04,2020-05-04 08:54:00,2020-05-04 09:00:00,2020-05-04 20:00:00,some,0 days 11:00:00.000000000,11.0,18.181818181818183
11802090,2020-05-06,2020-05-06 08:55:00,2020-05-06 09:05:00,2020-05-06 21:00:00,some,0 days 11:55:00.000000000,11.916666666666666,16.783216783216783
11802090,2020-05-07,2020-05-07 08:54:00,2020-05-07 09:00:00,2020-05-07 09:00:00,plenty,0 days 00:00:00.000000000,0.0,8.333333333333334
11802090,2020-05-11,2020-05-11 09:00:00,2020-05-11 09:10:00,2020-05-11 21:05:00,some,0 days 11:55:00.000000000,11.916666666666666,16.783216783216783
11803011,2020-04-07,2020-04-07 09:00:00,2020-04-07 09:10:00,2020-04-07 12:50:00,few,0 days 03:40:00.000000000,3.6666666666666665,73.63636363636364
11803011,2020-04-08,2020-04-08 08:59:00,2020-04-08 09:05:00,2020-04-08 17:50:00,few,0 days 08:45:00.000000000,8.75,30.857142857142858
11803011,2020-04-09,2020-04-09 08:54:00,2020-04-09 09:00:00,2020-04-09 15:30:00,few,0 days 06:30:00.000000000,6.5,41.53846153846154
11803011,2020-04-10,2020-04-10 09:06:00,2020-04-10 09:15:00,2020-04-10 17:15:00,few,0 days 08:00:00.000000000,8.0,33.75
11803011,2020-04-13,2020-04-13 09:04:00,2020-04-13 09:10:00,2020-04-13 14:55:00,few,0 days 05:45:00.000000000,5.75,46.95652173913044
11803011,2020-04-14,2020-04-14 09:06:00,2020-04-14 09:15:00,2020-04-14 18:25:00,empty,0 days 09:10:00.000000000,9.166666666666666,32.72727272727273
11803011,2020-04-16,2020-04-16 09:02:00,2020-04-16 09:10:00,2020-04-16 17:30:00,few,0 days 08:20:00.000000000,8.333333333333334,32.4
11803011,2020-04-17,2020-04-17 09:02:00,2020-04-17 09:10:00,2020-04-17 18:30:00,empty,0 days 09:20:00.000000000,9.333333333333334,32.14285714285714
11803011,2020-04-20,2020-04-20 08:55:00,2020-04-20 09:05:00,2020-04-20 15:55:00,few,0 days 06:50:00.000000000,6.833333333333333,39.51219512195122
