,code,name,addr,latitude,longitude,remain_stat,stock_at,created_at
0,11800241,강동엠약국,서울특별시 강동구 천호대로 1195 지앤지타워 1층 101호 (길동),37.5350031,127.1439027,break,2020/05/16 09:03:00,2020/05/16 15:00:00
1,12864714,나음온누리약국,서울특별시 강동구 올림픽로 620 예투빌딩 1층 (성내동),37.5367954,127.1231362,break,2020/04/27 09:30:00,2020/05/03 23:55:00
2,11806265,동명약국,서울특별시 강동구 양재대로 1396 (둔촌동),37.5306503,127.1378356,break,2020/05/15 17:27:00,2020/05/16 15:00:00
3,12864617,다정약국,서울특별시 강동구 양재대로 1377 2층 204호 (성내동),37.5291688,127.1362726,break,2020/05/15 16:14:00,2020/05/16 15:00:00
4,12863980,수약국,서울특별시 강동구 올림픽로 774 1층 3호 (암사동),37.5501924,127.1278692,break,2020/05/15 18:51:00,2020/05/16 15:00:00
5,12863319,봄봄약국,서울특별시 강동구 명일로 248 1층 (길동),37.5407774,127.1473025,break,2020/05/16 09:32:00,2020/05/16 15:00:00
6,11843136,스마트약국,서울특별시 강동구 천호대로 997 신라빌딩 3층 302호 (천호동),37.5393463,127.1233121,break,2020/05/16 09:01:00,2020/05/16 15:00:00
7,12860964,햇살약국,"서울특별시 강동구 동남로71길 32 103호 (명일동, 환타지아)",37.5519853,127.1545077,break,2020/05/16 12:10:00,2020/05/16 15:00:00
8,12859125,경희수약국,"서울특별시 강동구 동남로 881 103호 (명일동, 서희스타힐스)",37.5522895,127.1558053,break,2020/05/11 09:15:00,2020/05/16 15:00:00
9,11872837,21세기메디칼약국,서울특별시 강동구 천호대로 1199 (길동),37.5350727,127.1441776,break,2020/05/16 10:57:00,2020/05/16 15:00:00
10,12856746,주온누리약국,서울특별시 강동구 양재대로 1550 (길동),37.5439,127.142581,break,2020/05/16 10:53:00,2020/05/16 15:00:00
11,12853364,천호브라운스톤약국,서울특별시 강동구 천호대로 1006 (성내동),37.5379263,127.1237145,break,2020/05/15 09:42:00,2020/05/16 15:00:00
12,11806087,명일약국,서울특별시 강동구 양재대로 1626 (명일동),37.550674,127.144332,break,2020/05/16 09:02:00,2020/05/16 15:00:00
13,11899212,쌍용약국,서울특별시 강동구 천중로 216 101호 (길동),37.5406825,127.1442877,break,2020/05/16 14:22:00,2020/05/16 15:00:00
14,12847712,달약국,서울특별시 강동구 천호대로 1171 (길동),37.5341331,127.1414106,break,2020/05/16 08:45:00,2020/05/16 15:00:00
15,12846589,강동우리약국,서울특별시 강동구 천호대로173길 12 (길동),37.5356021,127.1355748,break,2020/05/16 07:53:00,2020/05/16 15:00:00
16,12844250,별약국,서울특별시 강동구 풍성로38길 9 102호 (성내동),37.5316357,127.1256185,break,2020/05/16 08:43:00,2020/05/16 15:00:00
17,12824551,신경희약국,서울특별시 강동구 동남로71길 24 (명일동),37.5519637,127.154793,break,2020/05/16 13:36:00,2020/05/16 15:00:00
18,12824593,진약국,서울특별시 강동구 구천면로 304 3층 (천호동),37.5467197,127.1348298,break,2020/05/16 12:35:00,2020/05/16 15:00:00
19,12825336,한우리유공약국,서울특별시 강동구 진황도로61길 25 (둔촌동),37.5290265,127.1446845,break,2020/05/15 08:39:00,2020/05/16 15:00:00
20,12826995,명일정원약국,"서울특별시 강동구 구천면로 428 204호 (명일동, 센트로빌)",37.5501928,127.1461828,break,2020/05/12 09:39:00,2020/05/16 15:00:00
21,12835994,메디팜자연약국,서울특별시 강동구 양재대로 1477 1층 (길동),37.5377748,127.1396971,break,2020/05/16 10:02:00,2020/05/16 15:00:00
22,12835544,가까운사랑약국,서울특별시 강동구 양재대로 1576 삼익빌딩 1층 (명일동),37.5461713,127.1434571,break,2020/05/16 12:37:00,2020/05/16 15:00:00
23,12835340,강동보건약국,서울특별시 강동구 성내로 40 (성내동),37.5288998,127.1245878,break,2020/05/16 09:32:00,2020/05/16 15:00:00
24,12834858,솔솔온누리약국,서울특별시 강동구 양재대로 1365 심포니타워 111호 (성내동),37.52805,127.1359371,break,2020/05/16 08:54:00,2020/05/16 15:00:00
25,12850357,튼튼온누리약국,서울특별시 강동구 올림픽로 732 1층 2호 (천호동),37.5465461,127.1265478,break,2020/05/01 11:43:00,2020/05/03 23:55:00
26,12865591,중앙대영약국,서울특별시 강동구 동남로 635 (둔촌동),37.5311659,127.1492309,break,2020/05/15 08:36:00,2020/05/16 15:00:00
27,12857092,열린약국,서울특별시 강동구 상암로 104 A동 101호 (천호동),37.5471484,127.1341178,break,2020/05/16 10:15:00,2020/05/16 15:00:00
28,12832120,우리선약국,"서울특별시 강동구 동남로49길 21-15 1,지1층 (둔촌동)",37.531413,127.1486654,break,2020/05/15 08:52:00,2020/05/16 15:00:00
29,12866652,복조리약국,서울특별시 강동구 천호대로187길 61 1층 (길동),37.5371204,127.1428397,break,2020/05/15 11:16:00,2020/05/16 15:00:00
30,12868973,고덕퍼스트약국,"서울특별시 강동구 고덕로 353 고덕그라시움아파트(상가1동) 254,255호 (고덕동)",37.5571351,127.1645103,break,2020/05/16 08:39:00,2020/05/16 15:00:00
31,11805404,나아약국,서울특별시 강동구 천호대로162길 50 (성내동),37.534711,127.1278832,break,2020/05/14 09:36:00,2020/05/16 15:00:00
32,11803738,아주약국,서울특별시 강동구 양재대로128길 9 (명일동),37.5450248,127.1433882,break,2020/05/16 09:03:00,2020/05/16 15:00:00
33,11804122,새가정약국,서울특별시 강동구 양재대로 1595 (천호동),37.5479709,127.1431882,break,2020/05/16 10:41:00,2020/05/16 15:00:00
34,11804041,위드팜천사약국,"서울특별시 강동구 천호대로 1107 101호 (길동, SK허브)",37.53567,127.134741,empty,2020/05/16 10:07:00,2020/05/16 15:00:00
35,12855651,순수 한약국,서울특별시 강동구 아리수로93길 19 202호 (강일동),37.5653807,127.174118,empty,2020/05/16 09:14:00,2020/05/16 15:00:00
36,12860115,태승온누리약국,서울특별시 강동구 천호대로 1012 1층 (성내동),37.5381216,127.1241396,empty,2020/05/16 08:48:00,2020/05/16 15:00:00
37,11895845,온누리모세종약국,서울특별시 강동구 고덕로83길 18 (고덕동),37.557982,127.1689055,empty,2020/05/16 10:10:00,2020/05/16 15:00:00
38,11899981,효약국,"서울특별시 강동구 천호대로 1099 5층 (천호동, 정산타워)",37.5357686,127.1341414,empty,2020/05/16 08:37:00,2020/05/16 15:00:00
39,11842440,승호약국,서울특별시 강동구 올림픽로 779 (암사동),37.5507516,127.1274819,empty,2020/05/16 08:45:00,2020/05/16 15:00:00
40,12848115,한사랑약국,"서울특별시 강동구 양재대로89길 16 214호 (성내동, 파크프라자)",37.5268855,127.1347212,empty,2020/05/16 08:52:00,2020/05/16 14:55:00
41,12863998,강동온누리약국,서울특별시 강동구 천호대로187길 53 (길동),37.5366239,127.1428061,empty,2020/05/15 14:49:00,2020/05/16 15:00:00
42,12810584,강동프라자약국,서울특별시 강동구 올림픽로 624 (성내동),37.5370559,127.1232685,empty,2020/05/16 08:44:00,2020/05/16 15:00:00
43,11880848,영일약국,서울특별시 강동구 풍성로37길 39-21 (성내동),37.5335767,127.1259499,empty,2020/05/16 10:17:00,2020/05/16 15:00:00
44,12867403,대학약국,서울특별시 강동구 동남로 889 102호 (명일동),37.55305504,127.1560032,empty,2020/05/16 09:30:00,2020/05/16 15:00:00
45,11806788,동현약국,서울특별시 강동구 양재대로127길 19 (천호동),37.5452575,127.141602,empty,2020/05/16 07:01:00,2020/05/16 15:00:00
46,12845221,뉴욕온누리약국,서울특별시 강동구 양재대로 1590 1층 (명일동),37.5474559,127.1437281,empty,2020/05/16 09:08:00,2020/05/16 15:00:00
47,12837938,은행약국,서울특별시 강동구 고덕로83길 14 2층 201호 (고덕동),37.5577554,127.1688763,empty,2020/05/16 08:33:00,2020/05/16 15:00:00
48,11806125,제일공안약국,서울특별시 강동구 풍성로37길 39-7 (성내동),37.5335588,127.1261352,empty,2020/05/16 09:09:00,2020/05/16 15:00:00
49,11805234,우주약국,서울특별시 강동구 양재대로 1571 (천호동),37.5457146,127.1422553,empty,2020/05/15 12:28:00,2020/05/16 15:00:00
