,code,name,addr,latitude,longitude,remain_stat,stock_at,created_at
0,12846767,올리브약국,서울특별시 강북구 노해로 76 1층 (수유동),37.6422738,127.0226427,break,2020/05/15 18:36:00,2020/05/16 15:00:00
1,12859087,세화온누리약국,"서울특별시 강북구 도봉로77길 6 1층 101,102호 (수유동, 수유동 이테크밸리 오피스텔)",37.6337622,127.0228086,break,2020/05/11 12:42:00,2020/05/16 15:00:00
2,11818557,새서울약국,서울특별시 강북구 삼양로 184 (미아동),37.6202165,127.0213156,break,2020/05/16 07:59:00,2020/05/16 15:00:00
3,12833487,매일약국,서울특별시 강북구 도봉로 389 1층 (수유동),37.6418436,127.0291307,break,2020/05/16 09:56:00,2020/05/16 15:00:00
4,12825280,바른약국,서울특별시 강북구 노해로 95-1 1층 (수유동),37.6441987,127.0228717,break,2020/05/16 08:09:00,2020/05/16 15:00:00
5,12828807,동북약국,서울특별시 강북구 솔샘로 233 305호 (미아동),37.6201527,127.0187184,break,2020/05/15 09:53:00,2020/05/16 15:00:00
6,12863696,더연세약국,서울특별시 강북구 도봉로 256 덕산빌딩 1층 (미아동),37.631364,127.0245019,break,2020/04/25 13:17:00,2020/04/26 23:55:00
7,11817488,승약국,서울특별시 강북구 솔매로 38 (미아동),37.6254369,127.0164096,break,2020/05/15 10:43:00,2020/05/16 15:00:00
8,11817925,길약국,서울특별시 강북구 도봉로67길 21 (미아동),37.6304672,127.0231172,break,2020/05/15 09:19:00,2020/05/16 15:00:00
9,11888571,민들레약국,"서울특별시 강북구 솔샘로 254 2층 2호 (미아동, 삼양아케이트)",37.627357,127.018375,break,2020/05/16 12:02:00,2020/05/16 15:00:00
10,12858781,단골약국,서울특별시 강북구 삼양로27길 35-21 미아프라자 1층 105호 (미아동),37.6179843,127.0189425,break,2020/05/15 11:43:00,2020/05/16 15:00:00
11,12865605,선경약국,서울특별시 강북구 도봉로77길 9 1층 (수유동),37.6335036,127.0227608,break,2020/05/11 09:07:00,2020/05/16 15:00:00
12,11816899,수유동약국,서울특별시 강북구 수유로 83 (수유동),37.6363726,127.022781,break,2020/05/16 11:37:00,2020/05/16 15:00:00
13,12851027,백화점약국,서울특별시 강북구 도봉로96길 11 1층 (번동),37.6405882,127.0295966,break,2020/05/16 11:36:00,2020/05/16 15:00:00
14,11842156,다나약국,서울특별시 강북구 덕릉로 75 석우빌딩 1층 (수유동),37.6348219,127.0220774,break,2020/05/16 09:20:00,2020/05/16 15:00:00
15,12848514,수유대학약국,"서울특별시 강북구 삼양로 431-1 (수유동, 수유대학약국)",37.6420314,127.016446,break,2020/05/13 18:22:00,2020/05/16 15:00:00
16,12836192,삼양약국,서울특별시 강북구 솔매로 80 1층 (미아동),37.6248481,127.0210879,break,2020/05/15 09:54:00,2020/05/16 15:00:00
17,11899603,필약국,서울특별시 강북구 오현로 193 (번동),37.6289693,127.039346,break,2020/05/16 11:54:00,2020/05/16 15:00:00
18,11862904,운산약국,서울특별시 강북구 도봉로 260 (미아동),37.6317065,127.0244403,break,2020/05/16 09:14:00,2020/05/16 15:00:00
19,12850004,이층약국,서울특별시 강북구 도봉로 53 (미아동),37.6138233,127.0296233,empty,2020/05/16 09:37:00,2020/05/16 15:00:00
20,11885432,복지약국,서울특별시 강북구 한천로115길 15 (번동),37.6321551,127.0383527,empty,2020/05/15 09:55:00,2020/05/16 15:00:00
21,11818719,영약국,서울특별시 강북구 한천로170길 5 (수유동),37.6480258,127.016194,empty,2020/05/16 09:58:00,2020/05/16 15:00:00
22,11819154,한사랑온누리약국,서울특별시 강북구 인수봉로 142 (수유동),37.6323392,127.0138353,empty,2020/05/15 19:16:00,2020/05/16 15:00:00
23,12831484,SK온누리약국,서울특별시 강북구 솔샘로 184 에스케이북한산시티 112~113호(미아동) (미아동),37.620071,127.012856,empty,2020/05/15 11:03:00,2020/05/16 15:00:00
24,12847470,고전약국,"서울특별시 강북구 도봉로 167 2층 (미아동, 아름빌딩)",37.6236486,127.0268489,empty,2020/03/21 12:49:00,2020/03/22 23:55:00
25,11817674,정수약국,서울특별시 강북구 솔샘로 239 (미아동),37.6200474,127.019461,empty,2020/04/25 09:04:00,2020/04/26 23:55:00
