,code,name,addr,latitude,longitude,remain_stat,stock_at,created_at
0,12826898,애플약국,서울특별시 강서구 양천로 684 1층 (염창동),37.5506606,126.8719713,break,2020/05/16 13:21:00,2020/05/16 15:00:00
1,12810461,성모약국,서울특별시 강서구 화곡로 313 (화곡동),37.5522798,126.8497064,break,2020/05/16 09:04:00,2020/05/16 15:00:00
2,12838187,달약국,서울특별시 강서구 마곡중앙6로 66 퀸즈파크텐 112호 (마곡동),37.5599665,126.834345,break,2020/05/15 18:53:00,2020/05/16 15:00:00
3,12867365,서울사랑약국,서울특별시 강서구 공항대로41길 52 버들빌딩 202호 (등촌동),37.5600495,126.8462275,break,2020/05/16 08:49:00,2020/05/16 15:00:00
4,12858471,한빛약국,"서울특별시 강서구 강서로62길 98 101호 (등촌동, 신한은행등촌점)",37.5617036,126.8450317,break,2020/05/16 10:18:00,2020/05/16 15:00:00
5,12858820,태평양약국,서울특별시 강서구 등촌로 71 1층 (등촌동),37.5363925,126.8632171,break,2020/05/16 07:36:00,2020/05/16 15:00:00
6,12814687,예약국,"서울특별시 강서구 공항대로41길 75 108호 (등촌동, 경원프라자)",37.5611523,126.8463831,break,2020/05/16 13:13:00,2020/05/16 15:00:00
7,12832286,비전약국,"서울특별시 강서구 공항대로 627 1층 (염창동, 대신빌딩)",37.5472856,126.8745461,break,2020/05/16 09:03:00,2020/05/16 15:00:00
8,11808462,영일약국,서울특별시 강서구 양천로 658 (염창동),37.5523059,126.869923,break,2020/05/16 09:23:00,2020/05/16 15:00:00
9,12832910,참사랑약국,서울특별시 강서구 초록마을로 37 (화곡동),37.5427789,126.8469517,break,2020/05/15 12:38:00,2020/05/16 15:00:00
10,12865923,바로약국,"서울특별시 강서구 강서로 341 창대교회 1층 2호,3호 (내발산동)",37.556582,126.837197,break,2020/05/16 09:23:00,2020/05/16 15:00:00
11,11813865,예성약국,"서울특별시 강서구 강서로 143 1층 (화곡동, 삼화빌딩)",37.5396022,126.8415729,break,2020/05/14 11:16:00,2020/05/16 15:00:00
12,12833291,푸른약국,서울특별시 강서구 공항대로41길 65 (등촌동),37.5608324,126.8461591,break,2020/05/11 09:21:00,2020/05/16 15:00:00
13,12836354,화곡부성약국,서울특별시 강서구 곰달래로 223 화곡동상가 104호 (화곡동),37.5318187,126.8577833,break,2020/05/16 11:24:00,2020/05/16 15:00:00
14,12833380,정다운약국,서울특별시 강서구 까치산로 120 (화곡동),37.5484429,126.8502853,break,2020/05/16 09:04:00,2020/05/16 15:00:00
15,12860174,사과약국,"서울특별시 강서구 강서로 391 108호 (마곡동, 문영비즈웍스)",37.5605449,126.8384276,break,2020/05/16 10:51:00,2020/05/16 15:00:00
16,12834246,솔트약국,서울특별시 강서구 양천로 660 지층 L02호 (염창동),37.5521376,126.8701049,break,2020/05/13 12:38:00,2020/05/16 15:00:00
17,11868732,선일약국,서울특별시 강서구 월정로 160 201호 (화곡동),37.5336919,126.837241,break,2020/05/16 09:13:00,2020/05/16 15:00:00
18,12852457,굿모닝이화약국,서울특별시 강서구 공항대로 383 1층 4호 (등촌동),37.55695,126.8502761,break,2020/05/16 09:37:00,2020/05/16 15:00:00
19,11878517,윤약국,서울특별시 강서구 가로공원로76길 91 (화곡동),37.5332224,126.838986,break,2020/05/16 09:35:00,2020/05/16 15:00:00
20,12819000,아름약국,서울특별시 강서구 양천로 366 4층 (가양동),37.5672569,126.8429031,break,2020/05/15 13:26:00,2020/05/16 15:00:00
21,12851531,동방약국,서울특별시 강서구 강서로 186 1층 (화곡동),37.5431069,126.8393862,break,2020/05/16 10:18:00,2020/05/16 15:00:00
22,12825361,하늘팜약국,"서울특별시 강서구 양천로 461 (가양동, 주영빌딩)",37.5630495,126.8522408,break,2020/05/16 14:22:00,2020/05/16 15:00:00
23,12800180,메디팜대야약국,서울특별시 강서구 강서로 56 (화곡동),37.5327709,126.8464016,break,2020/05/16 10:19:00,2020/05/16 15:00:00
24,12820113,대성약국,서울특별시 강서구 강서로 307 서울스타병원빌딩 1층 (내발산동),37.5532563,126.8362212,break,2020/05/16 10:38:00,2020/05/16 15:00:00
25,12850829,새봄약국,서울특별시 강서구 양천로59길 46 103호 (가양동),37.5610449,126.8600427,break,2020/05/15 18:00:00,2020/05/16 15:00:00
26,12842109,신방화약국,"서울특별시 강서구 양천로 128 103호 (방화동, 한림리첸빌)",37.5731355,126.8181642,break,2020/05/16 12:49:00,2020/05/16 15:00:00
27,11807814,대현온누리약국,서울특별시 강서구 양천로 556 강서메디칼센터 105호 (등촌동),37.5578101,126.8607356,break,2020/05/16 08:25:00,2020/05/16 15:00:00
28,11888768,메디팜푸른약국,서울특별시 강서구 강서로 293-1 (내발산동),37.5520675,126.8360165,break,2020/05/16 13:15:00,2020/05/16 15:00:00
29,11807091,강서연세약국,"서울특별시 강서구 화곡로 346 103호 (화곡동, 귀뚜라미홈시스텔)",37.5545186,126.8520363,break,2020/05/16 07:52:00,2020/05/16 15:00:00
30,12818071,본초당약국,"서울특별시 강서구 강서로45길 49-5 1층 101호,102호 (화곡동)",37.5475758,126.8333563,break,2020/05/16 08:52:00,2020/05/16 15:00:00
31,12822906,종로당약국,"서울특별시 강서구 양천로57길 36 1층 (가양동, 가양5단지아파트)",37.5636713,126.8548294,break,2020/05/15 09:52:00,2020/05/16 15:00:00
32,12824071,기린약국,서울특별시 강서구 하늘길 74 (과해동),37.5613409,126.7962307,break,2020/05/16 12:25:00,2020/05/16 15:00:00
33,12847551,흥부약국,서울특별시 강서구 공항대로 437 1층 (등촌동),37.5549397,126.8559224,break,2020/05/16 09:27:00,2020/05/16 15:00:00
34,11853573,천수약국,서울특별시 강서구 가로공원로76길 63 (화곡동),37.5343246,126.8383451,empty,2020/05/16 09:21:00,2020/05/16 15:00:00
35,12860018,유약국,서울특별시 강서구 화곡로 331 (화곡동),37.5535119,126.8506933,empty,2020/05/16 08:03:00,2020/05/16 15:00:00
36,12848361,한강메디칼약국,서울특별시 강서구 허준로 23 107호 (가양동),37.571579,126.8452813,empty,2020/05/16 08:41:00,2020/05/16 15:00:00
37,11896922,휴베이스비타민약국,서울특별시 강서구 가로공원로76길 51 (화곡동),37.5348881,126.837988,empty,2020/05/16 11:19:00,2020/05/16 15:00:00
38,11893508,우리온누리약국,서울특별시 강서구 가로공원로76길 100 1층 (화곡동),37.5328162,126.8388416,empty,2020/05/16 09:05:00,2020/05/16 15:00:00
39,11889110,삼정약국,"서울특별시 강서구 금낭화로23길 25 101호 (방화동, 도시개발6단지)",37.5786033,126.8108332,empty,2020/03/13 16:55:00,2020/03/15 23:55:00
40,12856665,정수한약국,서울특별시 강서구 강서로 263-23 1층 3호 (내발산동),37.549286,126.8348852,empty,2020/04/13 16:34:00,2020/04/19 23:55:00
41,11875402,아름드리약국,서울특별시 강서구 강서로56길 30 1층 (등촌동),37.5593411,126.840349,empty,2020/05/16 12:28:00,2020/05/16 15:00:00
42,11867531,화곡명문약국,서울특별시 강서구 화곡로 176-4 (화곡동),37.5416385,126.8411471,empty,2020/05/16 09:51:00,2020/05/16 15:00:00
43,12808423,길약국,"서울특별시 강서구 곰달래로 260 (화곡동, 피앤와이빌딩)",37.5320219,126.8618048,empty,2020/03/10 11:03:00,2020/03/15 23:55:00
44,12863823,마곡새봄약국,서울특별시 강서구 강서로 463 새싹타워 1층 (마곡동),37.5669502,126.8404559,empty,2020/05/16 09:57:00,2020/05/16 15:00:00
45,12867195,튼튼약국,"서울특별시 강서구 마곡중앙1로 72 305호 (마곡동, 마곡엠밸리10단지)",37.5597333,126.8197352,empty,2020/05/16 08:53:00,2020/05/16 15:00:00
46,12830330,순풍온누리약국,서울특별시 강서구 등촌로13다길 60 (화곡동),37.5341932,126.8581082,empty,2020/03/25 11:25:00,2020/03/29 23:55:00
47,12829773,키즈약국,서울특별시 강서구 강서로47가길 6 1층 108호 (내발산동),37.5524887,126.8354225,empty,2020/05/16 10:38:00,2020/05/16 15:00:00
48,12865290,발산에이스약국,서울특별시 강서구 강서로 360 솔레드림 109호 (내발산동),37.5576973,126.8384047,empty,2020/05/16 09:42:00,2020/05/16 15:00:00
49,12869155,가양온누리약국,서울특별시 강서구 허준로 198 가양프라자 1층 (가양동),37.5613201,126.8602683,empty,2020/05/16 08:46:00,2020/05/16 15:00:00
50,12867896,방화우리약국,서울특별시 강서구 양천로 94 1층 (방화동),37.5732335,126.8141441,empty,2020/05/16 09:27:00,2020/05/16 15:00:00
51,12846554,새싹약국,"서울특별시 강서구 강서로 254 203호 (화곡동, 우장산이편한세상아이파크상가)",37.548454,126.8367425,empty,2020/05/16 08:33:00,2020/05/16 15:00:00
52,12867535,밸런스약국,서울특별시 강서구 공항대로 237 107호 (마곡동),37.5594527,126.8339126,empty,2020/05/16 09:03:00,2020/05/16 15:00:00
53,11825197,동의송도약국,서울특별시 강서구 강서로54길 79 1층 (등촌동),37.5588486,126.8430304,few,2020/05/16 09:03:00,2020/05/16 15:00:00
54,12812226,화곡서울약국,서울특별시 강서구 강서로 254 (화곡동),37.548282,126.836679,few,2020/05/16 11:31:00,2020/05/16 15:00:00
55,12833088,자연주의약국,"서울특별시 강서구 화곡로 194-26 (화곡동, 모아빌딩)",37.5420034,126.8426106,few,2020/05/16 10:27:00,2020/05/16 15:00:00
56,12821306,벼리약국,서울특별시 강서구 허준로 12 (가양동),37.5704536,126.8431098,few,2020/05/16 08:50:00,2020/05/16 15:00:00
57,11807385,감초약국,서울특별시 강서구 강서로 38 (화곡동),37.531254,126.8473384,few,2020/05/16 09:20:00,2020/05/16 15:00:00
58,11807521,제일약국,서울특별시 강서구 가로공원로76길 94 (화곡동),37.53303,126.8387037,few,2020/05/15 09:32:00,2020/05/16 15:00:00
59,12867446,솔약국,서울특별시 강서구 양천로 564 등촌동두산위브센티움 131호 (등촌동),37.5570639,126.8613201,few,2020/05/16 09:18:00,2020/05/16 15:00:00
60,12849821,원약국,서울특별시 강서구 남부순환로11가길 104 1층 (공항동),37.5582155,126.8135218,few,2020/05/16 09:10:00,2020/05/16 15:00:00
61,12868451,엔젤약국,서울특별시 강서구 양천로 476 금부빌딩 402호 (등촌동),37.5616037,126.8532854,few,2020/05/16 08:10:00,2020/05/16 15:00:00
62,12835510,코끼리약국,서울특별시 강서구 등촌로 31 2층 (화곡동),37.5328493,126.8634148,plenty,2020/05/16 09:03:00,2020/05/16 15:00:00
63,12829455,해맑은약국,서울특별시 강서구 방화동로 66 1층 (방화동),37.5662155,126.8127026,plenty,2020/05/16 09:04:00,2020/05/16 15:00:00
64,12844471,개화약국,"서울특별시 강서구 양천로 31 1층 (방화동, 푸른빌딩)",37.5729279,126.8073515,plenty,2020/05/16 09:39:00,2020/05/16 15:00:00
65,12829129,21C세계로약국,서울특별시 강서구 화곡로 173 1층 (화곡동),37.5420388,126.8407584,plenty,2020/05/16 08:53:00,2020/05/16 15:00:00
66,12843318,SooPharm수약국,서울특별시 강서구 화곡로61길 26 (등촌동),37.5573221,126.8510121,plenty,2020/05/16 10:12:00,2020/05/16 15:00:00
67,12829978,제일메디칼약국,서울특별시 강서구 가로공원로 187 (화곡동),37.537373,126.8367214,plenty,2020/05/16 09:32:00,2020/05/16 15:00:00
68,12830101,노을약국,서울특별시 강서구 까치산로 36 1층 (화곡동),37.5427147,126.8442445,plenty,2020/05/16 12:03:00,2020/05/16 15:00:00
69,12840157,푸른온누리약국,서울특별시 강서구 방화대로34길 92 불해빌딩 1층 (방화동),37.5708584,126.8214511,plenty,2020/05/16 11:39:00,2020/05/16 15:00:00
70,12838586,건강한온누리약국,서울특별시 강서구 가로공원로82길 41-8 1층 (화곡동),37.5356296,126.8408471,plenty,2020/05/16 10:01:00,2020/05/16 15:00:00
71,12835463,고운마음약국,"서울특별시 강서구 양천로 500 1층 112호 (등촌동, 노블리움오피스텔)",37.560546,126.8555608,plenty,2020/05/16 12:42:00,2020/05/16 15:00:00
72,12838462,행복한온누리약국,"서울특별시 강서구 수명로 82 102호 (내발산동, 발산로얄타워)",37.553487,126.8264536,plenty,2020/05/16 08:50:00,2020/05/16 15:00:00
73,12838446,편안한약국,서울특별시 강서구 강서로18길 14 1층 (화곡동),37.5335499,126.8466045,plenty,2020/05/15 09:52:00,2020/05/16 15:00:00
74,12838241,한마음약국,"서울특별시 강서구 등촌로 147 1층 (등촌동, 유석빌딩)",37.5428331,126.862414,plenty,2020/05/16 11:03:00,2020/05/16 15:00:00
75,12838039,하늘약국,"서울특별시 강서구 금낭화로 136 118호 (방화동, 에어뷰)",37.5774317,126.813028,plenty,2020/05/16 09:09:00,2020/05/16 15:00:00
76,12830445,새서울약국,서울특별시 강서구 양천로57길 9-7 (가양동),37.5634076,126.8514389,plenty,2020/05/16 09:50:00,2020/05/16 15:00:00
77,12831344,가까운중앙약국,서울특별시 강서구 마곡중앙4로 74 106~107호 (마곡동),37.5578291,126.8350409,plenty,2020/05/15 08:37:00,2020/05/16 15:00:00
78,12836117,금비약국,서울특별시 강서구 양천로69길 11 1층 101호 (염창동),37.5531245,126.8703829,plenty,2020/05/16 08:52:00,2020/05/16 15:00:00
79,12833738,나무약국,서울특별시 강서구 강서로45길 174 수명산씨티 3층 (내발산동),37.5528825,126.8306181,plenty,2020/05/16 09:00:00,2020/05/16 15:00:00
80,12841862,남부시장약국,서울특별시 강서구 등촌로5길 80 (화곡동),37.5331262,126.8589452,plenty,2020/05/15 08:57:00,2020/05/16 15:00:00
81,12845159,엔씨(NC)약국,서울특별시 강서구 강서로56길 17 지하1층 (등촌동),37.5599572,126.8405062,plenty,2020/05/16 12:14:00,2020/05/16 15:00:00
82,11807032,영보약국,서울특별시 강서구 양천로57길 16 (가양동),37.5633795,126.8525226,plenty,2020/05/16 10:50:00,2020/05/16 15:00:00
83,12845671,하늘수한약국,"서울특별시 강서구 공항대로 269-15 316-1호 (마곡동, 힐스테이트에코마곡)",37.5596114,126.8372423,plenty,2020/05/13 10:31:00,2020/05/16 15:00:00
