,code,name,addr,latitude,longitude,remain_stat,stock_at,created_at
0,12865664,더푸른약국,"서울특별시 관악구 관악로 195 1층 104호 (봉천동, 관악위버폴리스)",37.4828207,126.9531143,break,2020/05/15 10:45:00,2020/05/16 15:00:00
1,12810975,푸른약국,서울특별시 관악구 난곡로 351 (신림동),37.4853815,126.9136697,break,2020/05/16 08:51:00,2020/05/16 15:00:00
2,12852147,관악우리약국,서울특별시 관악구 남부순환로 1630 (신림동),37.4842533,126.9317495,break,2020/05/16 10:11:00,2020/05/16 15:00:00
3,11893699,세종약국,"서울특별시 관악구 난곡로31길 5 2동 1층 (신림동, 성수빌딩)",37.4712891,126.9194912,break,2020/05/16 12:07:00,2020/05/16 15:00:00
4,11810211,구약국,서울특별시 관악구 관악로14길 52 (봉천동),37.4785513,126.9554357,break,2020/05/16 11:33:00,2020/05/16 15:00:00
5,12863467,광장약국,서울특별시 관악구 관악로40길 47 현대상가 1동 1층 5호 (봉천동),37.4919945,126.9589265,break,2020/05/16 11:08:00,2020/05/16 15:00:00
6,12866474,미소온누리약국,서울특별시 관악구 난곡로 295 1층 (신림동),37.4803809,126.914532,break,2020/05/08 10:16:00,2020/05/10 23:55:00
7,12867926,관악온누리약국,서울특별시 관악구 봉천로 488 1층 2호 (봉천동),37.4814864,126.9539222,break,2020/05/13 14:14:00,2020/05/16 15:00:00
8,12850080,세영약국,서울특별시 관악구 남부순환로 1479 (신림동),37.4821914,126.9149551,break,2020/05/16 10:18:00,2020/05/16 15:00:00
9,12856673,로뎀약국,서울특별시 관악구 난곡로 349 1층 102호 (신림동),37.4850892,126.9136781,break,2020/05/16 11:55:00,2020/05/16 15:00:00
10,12867454,행복약국,"서울특별시 관악구 관악로30길 12 301호 (봉천동, 봉천우성아파트)",37.485396,126.9595888,break,2020/05/16 08:51:00,2020/05/16 15:00:00
11,12835145,수약국,서울특별시 관악구 남부순환로 1912 1층 (봉천동),37.4775004,126.961655,break,2020/05/04 07:58:00,2020/05/10 23:55:00
12,11887711,미향약국,"서울특별시 관악구 관악로 195 408호 (봉천동, 관악위버폴리스)",37.4829571,126.9533044,break,2020/05/11 10:02:00,2020/05/16 15:00:00
13,12870137,고은약국,서울특별시 관악구 신림로 339 1층 (신림동),37.4845635,126.9292348,break,2020/05/16 09:23:00,2020/05/16 15:00:00
14,11885793,동원약국,서울특별시 관악구 신림로 360-1 (신림동),37.4865056,126.9294748,break,2020/05/16 12:53:00,2020/05/16 15:00:00
15,12842001,새봄약국,서울특별시 관악구 조원로 128-8 (신림동),37.4849698,126.9164141,break,2020/05/16 08:54:00,2020/05/16 15:00:00
16,12841790,사당365약국,서울특별시 관악구 과천대로 955 1층 (남현동),37.4759484,126.9811803,break,2020/05/16 09:05:00,2020/05/16 15:00:00
17,11810068,남강약국,서울특별시 관악구 난곡로 107-1 1층 (신림동),37.4651355,126.919271,break,2020/05/16 09:39:00,2020/05/16 15:00:00
18,12851094,1번약국,"서울특별시 관악구 남부순환로 1832 1층 (봉천동, 삼한빌딩)",37.4807107,126.9535153,empty,2020/05/16 09:14:00,2020/05/16 15:00:00
19,12846210,이화온누리약국,"서울특별시 관악구 난곡로 53 303호 (신림동, 관악산휴먼시아상가동)",37.4601484,126.9193431,empty,2020/05/16 09:14:00,2020/05/16 15:00:00
20,11894466,서울대약국,서울특별시 관악구 관악로 1 2층 (신림동),37.464007,126.9522394,empty,2020/05/15 08:00:00,2020/05/16 15:00:00
21,12852741,다정약국,"서울특별시 관악구 남부순환로 1485 1층 (신림동, 삼남빌딩)",37.4823639,126.9156675,empty,2020/05/16 12:13:00,2020/05/16 15:00:00
22,12834432,팜프라자약국,서울특별시 관악구 신림로 150 (신림동),37.472538,126.9337681,empty,2020/05/13 16:49:00,2020/05/16 15:00:00
23,12841030,광선약국,서울특별시 관악구 은천로 51 은호빌딩 1층 (봉천동),37.4862977,126.9411916,empty,2020/05/16 12:59:00,2020/05/16 15:00:00
