,code,name,addr,latitude,longitude,remain_stat,stock_at,created_at
0,11863552,굿모닝약국,"서울특별시 광진구 자양로 113 4층 401-1호 (자양동, 구의 현대 하이엘)",37.5379166,127.0830727,break,2020/05/16 11:12:00,2020/05/16 15:00:00
1,12865362,튼튼온누리약국,서울특별시 광진구 아차산로 450-2 1층 (구의동),37.5387334,127.0924764,break,2020/05/16 11:02:00,2020/05/16 15:00:00
2,12866041,청구약국,"서울특별시 광진구 아차산로 502 진넥스 오딧세이 106,107호 (광장동)",37.5413606,127.0972644,break,2020/05/15 09:07:00,2020/05/16 15:00:00
3,12850349,현약국,서울특별시 광진구 광나루로 508 (구의동),37.5448029,127.0859863,break,2020/05/16 09:09:00,2020/05/16 15:00:00
4,11878703,100세약국,"서울특별시 광진구 뚝섬로 623 1층 (자양동, 유일빌딩)",37.5324127,127.0790399,break,2020/05/08 16:56:00,2020/05/10 23:55:00
5,11879912,태평양약국,서울특별시 광진구 자양로 48 1층 (자양동),37.5323138,127.0858337,break,2020/05/16 09:05:00,2020/05/16 15:00:00
6,12842702,레몬약국,"서울특별시 광진구 아차산로 478 4층 (구의동, 그레이스빌딩)",37.5403194,127.0950479,break,2020/05/16 08:47:00,2020/05/16 15:00:00
7,12845043,중곡열린약국,서울특별시 광진구 능동로51길 44 1층 (중곡동),37.5665913,127.0818195,break,2020/05/16 08:50:00,2020/05/16 15:00:00
8,11864788,군자종로약국,서울특별시 광진구 천호대로 561 (중곡동),37.5571308,127.0806809,break,2020/05/16 09:40:00,2020/05/16 15:00:00
9,12867373,느티나무약국,서울특별시 광진구 자양로 87 1층 (자양동),37.5356547,127.0836371,break,2020/05/16 09:23:00,2020/05/16 15:00:00
10,12868281,건대온누리약국,"서울특별시 광진구 능동로 110 스타시티영존 지하2층 B203-1,204호 (화양동)",37.5403318,127.0713715,break,2020/05/16 09:32:00,2020/05/16 15:00:00
11,12839621,새한빛약국,"서울특별시 광진구 뚝섬로 558 (자양동, 대양빌딩)",37.534141,127.0718769,break,2020/05/16 13:10:00,2020/05/16 15:00:00
12,12854808,하늘약국,서울특별시 광진구 광나루로 604 진넥스 베르디엠 2층 202호 (구의동),37.5415877,127.0949441,break,2020/05/13 11:43:00,2020/05/16 15:00:00
13,12869457,누리온누리약국,"서울특별시 광진구 자양로15길 18 1층 (자양동, 혜성빌딩)",37.5358263,127.0825545,break,2020/05/16 08:38:00,2020/05/16 15:00:00
14,12841757,구의온누리약국,서울특별시 광진구 자양로 285 (구의동),37.5513157,127.0916974,break,2020/05/16 09:09:00,2020/05/16 15:00:00
15,11861797,기호약국,서울특별시 광진구 군자로 25 (화양동),37.5454149,127.0705333,empty,2020/05/15 21:57:00,2020/05/16 15:00:00
