,code,name,addr,latitude,longitude,remain_stat,stock_at,created_at
0,12835714,건강샘온누리약국,"서울특별시 구로구 경인로 661 219동 237호 (신도림동, 신도림1차푸르지오)",37.5094198,126.8877241,break,2020/04/27 09:40:00,2020/05/03 23:55:00
1,11852429,항동푸른약국,서울특별시 구로구 항동로3길 6 가온 프라자 105호 (항동),37.4810296,126.8245415,break,2020/05/16 08:58:00,2020/05/16 15:00:00
2,12863807,구로솔약국,서울특별시 구로구 경인로 433 (고척동),37.4997039,126.8669964,break,2020/05/16 09:54:00,2020/05/16 15:00:00
3,12822621,상산약국,서울특별시 구로구 중앙로 19 1층 (고척동),37.499739,126.8634911,break,2020/05/16 11:36:00,2020/05/16 15:00:00
4,12864277,한사랑약국,서울특별시 구로구 신도림로 7 금강리빙스텔 123호 (신도림동),37.5063533,126.8772301,break,2020/05/16 08:51:00,2020/05/16 15:00:00
5,12835447,늘사랑약국,서울특별시 구로구 개봉로3길 59 (개봉동),37.4860606,126.8529823,break,2020/05/16 09:09:00,2020/05/16 15:00:00
6,12830160,한빛약국,"서울특별시 구로구 경인로 164 3층 (오류동, 대일빌딩)",37.4940323,126.839986,break,2020/05/15 09:39:00,2020/05/16 15:00:00
7,12823732,샘물약국,서울특별시 구로구 구로동로20길 6 (구로동),37.4888164,126.8848325,break,2020/05/16 08:47:00,2020/05/16 15:00:00
8,11869780,초지약국,"서울특별시 구로구 구로동로 240 (구로동, 세일빌딩)",37.4999929,126.8827321,break,2020/05/16 09:01:00,2020/05/16 15:00:00
9,11871415,수정약국,"서울특별시 구로구 경인로 319 401호 (개봉동, 대림프라자)",37.4976102,126.8556191,break,2020/05/16 08:35:00,2020/05/16 15:00:00
10,12843415,플러스약국,"서울특별시 구로구 경인로 661 (신도림동, 신도림1차푸르지오)",37.5094195,126.8877239,break,2020/05/09 10:52:00,2020/05/10 23:55:00
11,11847123,은성약국,"서울특별시 구로구 신도림로19길 7 (신도림동, 성광빌딩)",37.511267,126.8844653,break,2020/05/16 09:42:00,2020/05/16 15:00:00
12,12824097,제일약국,서울특별시 구로구 고척로 148 (고척동),37.502784,126.8501913,break,2020/05/16 08:34:00,2020/05/16 15:00:00
13,12848352,은약국,"서울특별시 구로구 시흥대로 551 3층 (구로동, 광희빌딩)",37.4825399,126.9002463,break,2020/05/16 09:25:00,2020/05/16 15:00:00
14,11808071,비타민약국,서울특별시 구로구 구로동로 115 청보빌딩 지하1층 (구로동),37.4887723,126.8842671,break,2020/05/16 09:08:00,2020/05/16 15:00:00
15,12836915,나은약국,서울특별시 구로구 구로동로28길 99 (구로동),37.4919717,126.8892407,break,2020/05/16 08:33:00,2020/05/16 15:00:00
16,12837679,햇살약국,"서울특별시 구로구 경인로67길 23 (신도림동,대우푸르지오2차 101동 311호)",37.5104624,126.8894256,empty,2020/05/16 11:58:00,2020/05/16 15:00:00
17,11870133,아름솔약국,"서울특별시 구로구 경인로53길 15 (구로동, 중앙유통단지)",37.5008451,126.8745566,empty,2020/05/15 09:07:00,2020/05/16 15:00:00
18,12851175,세계로온누리약국,"서울특별시 구로구 경인로 643 1층 (신도림동, 동아2차아파트상가)",37.5090558,126.885815,empty,2020/05/16 10:21:00,2020/05/16 15:00:00
19,12815454,모스팜약국,서울특별시 구로구 새말로 97 신도림테크노마트 지하1층 BS026호 (구로동),37.5070439,126.8902273,empty,2020/05/16 13:34:00,2020/05/16 15:00:00
20,12847623,제이약국,서울특별시 구로구 디지털로34길 55 코오롱싸이언스밸리2차 2층 214-1호 (구로동),37.4841595,126.8994585,empty,2020/05/16 09:06:00,2020/05/16 15:00:00
21,12847089,새튼튼약국,"서울특별시 구로구 경인로 661 2층 211-1호 (신도림동, 신도림1차푸르지오)",37.5095178,126.8877039,empty,2020/03/16 09:00:00,2020/03/22 23:55:00
22,12847046,그린약국,서울특별시 구로구 디지털로33길 11 (구로동),37.4856729,126.8954779,empty,2020/05/16 09:14:00,2020/05/16 15:00:00
