,code,name,addr,latitude,longitude,remain_stat,stock_at,created_at
0,12817171,영신약국,서울특별시 노원구 한글비석로24길 57 (상계동),37.6630853,127.0733367,break,2020/05/16 09:43:00,2020/05/16 15:00:00
1,11857056,소망약국,"서울특별시 노원구 한글비석로 253 305호 (중계동, 세신프라자)",37.65042302,127.076353,break,2020/05/16 09:43:00,2020/05/16 15:00:00
2,11857374,세브란스약국,"서울특별시 노원구 섬밭로 229 201호 (하계동, 벽산상가)",37.634832,127.065806,break,2020/05/16 08:54:00,2020/05/16 15:00:00
3,12860301,나눔약국,서울특별시 노원구 동일로216길 70 1층 (상계동),37.6521231,127.0655009,break,2020/05/16 08:39:00,2020/05/16 15:00:00
4,11857897,경화당약국,서울특별시 노원구 화랑로 337 (월계동),37.6151212,127.0652335,break,2020/05/14 10:34:00,2020/05/16 15:00:00
5,12857131,미션약국,"서울특별시 노원구 동일로 1533 102호 (상계동, 백산빌딩)",37.6653534,127.0572639,break,2020/05/16 12:28:00,2020/05/16 15:00:00
6,12853712,소담약국,"서울특별시 노원구 상계로1길 14-11 A동 103호 (상계동, 하이웰빙상가)",37.6569219,127.0618369,break,2020/05/16 09:32:00,2020/05/16 15:00:00
7,12850535,바른손약국,"서울특별시 노원구 한글비석로 56 107호 (하계동, 미성아파트상가)",37.63591034,127.0686472,break,2020/05/16 08:46:00,2020/05/16 15:00:00
8,11882115,누리약국,"서울특별시 노원구 월계로45길 21 203호 (월계동, 롯데캐슬루나아파트)",37.6261102,127.0498162,break,2020/05/16 10:17:00,2020/05/16 15:00:00
9,12850306,고려약국,서울특별시 노원구 동일로 1382 (상계동),37.6519768,127.061574,break,2020/05/16 12:45:00,2020/05/16 15:00:00
10,12847399,상계우리들약국,서울특별시 노원구 한글비석로 416 1층 (상계동),37.6617003,127.0706536,break,2020/05/13 10:28:00,2020/05/16 15:00:00
11,11887737,화인팜약국,"서울특별시 노원구 중계로 160 204호 (중계동, 화인상가)",37.6495898,127.0812993,break,2020/05/16 12:59:00,2020/05/16 15:00:00
12,12846376,노원행복한약국,"서울특별시 노원구 상계로 63-7 1층 (상계동, 청우빌딩)",37.6565125,127.0618955,break,2020/05/11 08:58:00,2020/05/16 15:00:00
13,11894377,건강샘온누리약국,서울특별시 노원구 동일로243길 33 1층 (상계동),37.6784694,127.053145,break,2020/03/15 09:34:00,2020/03/15 23:55:00
14,12843784,마들한중약국,서울특별시 노원구 동일로 1529 합동빌딩 203호 마들한중약국 (상계동),37.6650967,127.0573403,break,2020/05/11 09:12:00,2020/05/16 15:00:00
15,12840777,조은약국,서울특별시 노원구 한글비석로 471 (주)맥스아웃 상계빌딩 4층 (상계동),37.6642287,127.0658746,break,2020/05/14 14:06:00,2020/05/16 15:00:00
16,12801046,푸른솔약국,서울특별시 노원구 공릉로58가길 14 1층 (하계동),37.6362689,127.0728252,break,2020/05/15 08:35:00,2020/05/16 15:00:00
17,12838292,바른약국,서울특별시 노원구 동일로 1028 한의학명가 1층 106호 (공릉동),37.6220009,127.0745003,break,2020/05/16 13:47:00,2020/05/16 15:00:00
18,12812064,참건강약국,서울특별시 노원구 노원로 257 인정빌딩 103호 (하계동),37.6402685,127.0727733,break,2020/05/15 14:22:00,2020/05/16 15:00:00
19,12833843,밝은미소약국,서울특별시 노원구 석계로3길 3 (월계동),37.6155595,127.0643523,break,2020/05/16 10:27:00,2020/05/16 15:00:00
20,12830682,샘약국,서울특별시 노원구 한글비석로 270 스카이타워 1층 103호 (중계동),37.6515779,127.0774074,break,2020/05/16 10:41:00,2020/05/16 15:00:00
21,12829196,중계열방약국,"서울특별시 노원구 한글비석로 250 2층 222호 (중계동, 그린코아빌딩)",37.650036,127.0770202,break,2020/05/15 09:36:00,2020/05/16 15:00:00
22,12827878,상계동문약국,"서울특별시 노원구 동일로 1352 1층 (상계동, 형인빌딩)",37.6494038,127.0623148,break,2020/05/11 08:33:00,2020/05/16 15:00:00
23,12827029,다사랑약국,"서울특별시 노원구 한글비석로 254 305호 (중계동, 대명프라자)",37.6504117,127.0770975,break,2020/05/16 09:11:00,2020/05/16 15:00:00
