,code,name,addr,latitude,longitude,remain_stat,stock_at,created_at
0,11867884,효성당약국,서울특별시 동대문구 왕산로32길 26 (용두동),37.577775,127.0418181,break,2020/03/13 19:11:00,2020/03/15 23:55:00
1,12862509,으뜸약국,"서울특별시 동대문구 왕산로 52 102동 104호 (용두동, 신설동역대우아이빌)",37.5771497,127.0293487,break,2020/05/15 09:25:00,2020/05/16 15:00:00
2,12861154,경동시장약국,"서울특별시 동대문구 고산자로 476 1층 (제기동, 서울제기동우체국)",37.5821386,127.0389184,break,2020/05/13 10:33:00,2020/05/16 15:00:00
3,12833568,올리브약국,"서울특별시 동대문구 장한로 130 1층 105호 (장안동, 장안빌딩)",37.5718334,127.0718593,break,2020/05/13 12:38:00,2020/05/16 15:00:00
4,11846810,건강약국,서울특별시 동대문구 왕산로 176 2층 (전농동),37.5792824,127.043031,break,2020/05/13 17:44:00,2020/05/16 15:00:00
5,11896086,정다운우리약국,"서울특별시 동대문구 왕산로 127 지하1층 (제기동, 경동대성빌딩)",37.5784573,127.0375326,break,2020/05/16 12:27:00,2020/05/16 15:00:00
6,12852066,답십리코코약국,"서울특별시 동대문구 답십리로 130 301동 103호 (답십리동, 래미안위브아파트단지내상가)",37.571288,127.0538624,break,2020/05/16 10:41:00,2020/05/16 15:00:00
7,11863994,남진약국,서울특별시 동대문구 약령시로 86-1 (제기동),37.5828371,127.0395039,break,2020/05/15 16:18:00,2020/05/16 15:00:00
8,12841773,한가람약국,서울특별시 동대문구 망우로 77 1층 (휘경동),37.5902089,127.0617848,break,2020/05/15 10:12:00,2020/05/16 15:00:00
9,12841986,경희온누리약국,서울특별시 동대문구 경희대로1가길 32 (회기동),37.5930179,127.0517592,break,2020/05/13 13:39:00,2020/05/16 15:00:00
10,12849502,장안중앙약국,"서울특별시 동대문구 한천로 62 1층 101호 (장안동, 화성빌딩)",37.5672045,127.0627929,break,2020/05/13 12:22:00,2020/05/16 15:00:00
11,12849065,메디약국,서울특별시 동대문구 회기로 173 1층 (회기동),37.5905268,127.0555113,break,2020/05/14 14:09:00,2020/05/16 15:00:00
12,11880864,메디팜사랑약국,서울특별시 동대문구 망우로18길 6 1층 (휘경동),37.5896281,127.0623731,break,2020/05/15 08:11:00,2020/05/16 15:00:00
13,12847135,장안미소약국,서울특별시 동대문구 답십리로 305 1층 (장안동),37.5724068,127.0745086,break,2020/05/15 14:04:00,2020/05/16 15:00:00
14,12847003,장안제일약국,서울특별시 동대문구 장한로25길 2 1층 (장안동),37.5718746,127.0711172,break,2020/05/15 11:47:00,2020/05/16 15:00:00
15,11884444,4층현약국,서울특별시 동대문구 천호대로 425 (장안동),37.5618203,127.0664831,break,2020/05/12 09:18:00,2020/05/16 15:00:00
16,12844535,우리보강약국,서울특별시 동대문구 약령시로 133 1층 (청량리동),37.5833919,127.0447608,break,2020/05/14 10:14:00,2020/05/16 15:00:00
17,11886412,동안메디약국,서울특별시 동대문구 천호대로17길 75 1층 (용두동),37.5774297,127.03215,break,2020/05/16 13:08:00,2020/05/16 15:00:00
18,12862657,미소가득약국,"서울특별시 동대문구 장안벚꽃로 107 상가1동 2층 215-1호 (장안동, 장안현대홈타운)",37.5709051,127.0743118,break,2020/05/15 11:59:00,2020/05/16 15:00:00
19,11822317,홍약국,서울특별시 동대문구 답십리로48가길 46 (답십리동),37.571052,127.0579336,break,2020/05/16 10:59:00,2020/05/16 15:00:00
20,11840561,이웃사랑약국,"서울특별시 동대문구 한천로46길 56-4 101호 (장안동, 부성빌딩)",37.5816006,127.0713856,break,2020/05/15 19:25:00,2020/05/16 15:00:00
21,12825433,이문메디칼약국,"서울특별시 동대문구 이문로 131 1층 (이문동, 삼일퍼스탑)",37.5984184,127.0611928,break,2020/05/15 10:57:00,2020/05/16 15:00:00
22,12870315,늘푸른약국,서울특별시 동대문구 전농로 148 1층 (전농동),37.5781886,127.0576605,break,2020/05/16 08:01:00,2020/05/16 15:00:00
23,12815837,강북열린약국,서울특별시 동대문구 전농로 110 1층 (답십리동),37.5747254,127.0580135,break,2020/05/16 10:45:00,2020/05/16 15:00:00
24,12817996,홈타운약국,"서울특별시 동대문구 장안벚꽃로 107 2층 6호 (장안동, 현대홈타운제1상가동)",37.5698432,127.0745688,break,2020/05/16 08:52:00,2020/05/16 15:00:00
25,12866806,사랑약국,"서울특별시 동대문구 왕산로 151 2층 4,5호 (제기동)",37.5788683,127.040192,break,2020/05/15 14:15:00,2020/05/16 15:00:00
