,code,name,addr,latitude,longitude,remain_stat,stock_at,created_at
0,12870005,강약국,서울특별시 송파구 중대로 135 아이티벤처타워 동관 104호 (가락동),37.4951039,127.1224441,break,2020/05/15 09:05:00,2020/05/16 14:55:00
1,11847158,한결약국,"서울특별시 송파구 올림픽로35길 124 2동 410,411호 (신천동, 장미아파트 에이상가)",37.5174493,127.1009129,break,2020/05/16 07:47:00,2020/05/16 14:55:00
2,12856410,송파윤한약국,서울특별시 송파구 동남로18길 12 106호 (가락동),37.4949185,127.131762,break,2020/05/15 10:50:00,2020/05/16 14:55:00
3,12854115,리오약국,"서울특별시 송파구 송파대로 345 1A동 2009호 (가락동, 헬리오시티)",37.4991334,127.111745,break,2020/05/16 13:00:00,2020/05/16 14:55:00
4,11887516,손약국,서울특별시 송파구 백제고분로 405 1층 (송파동),37.5074505,127.1097102,break,2020/05/16 10:27:00,2020/05/16 14:55:00
5,12852651,위래약국,서울특별시 송파구 백제고분로 262 2층 (삼전동),37.5022936,127.0954306,break,2020/05/14 10:39:00,2020/05/16 14:55:00
6,12852414,고운약국,"서울특별시 송파구 송이로32길 37 201동 1층 04호 (문정동, 문정푸르지오아파트)",37.4869712,127.1276788,break,2020/05/14 09:44:00,2020/05/16 14:55:00
7,12851736,신화약국,"서울특별시 송파구 올림픽로12길 34 (잠실동, 103호)",37.508607,127.0833439,break,2020/05/14 11:03:00,2020/05/16 14:55:00
8,12850748,잠실메디신약국,서울특별시 송파구 백제고분로 168 (잠실동),37.5048594,127.0853318,break,2020/05/16 08:27:00,2020/05/16 14:55:00
9,12850314,녹십자약국,서울특별시 송파구 올림픽로 130 (잠실동),37.5113788,127.0849952,break,2020/05/16 09:15:00,2020/05/16 14:55:00
10,12848964,가장편한대영약국,"서울특별시 송파구 강동대로 74 108동 101,102,지하102호 (풍납동)",37.5264402,127.1149319,break,2020/05/15 10:14:00,2020/05/16 14:55:00
11,12847739,윤약국,서울특별시 송파구 백제고분로 365 1층 (석촌동),37.5052718,127.1063142,break,2020/05/15 13:01:00,2020/05/16 14:55:00
12,12845825,바른약국,"서울특별시 송파구 올림픽로 145 5층 (잠실동, 리센츠상가 5B15호)",37.51202652,127.0870865,break,2020/05/15 16:13:00,2020/05/16 14:55:00
13,12845337,서울약국,서울특별시 송파구 송이로31길 4 1층 (문정동),37.4881597,127.1318826,break,2020/05/16 09:21:00,2020/05/16 14:55:00
14,11848740,동의삼성약국,서울특별시 송파구 거마로22길 49 (마천동),37.4968936,127.1520044,break,2020/05/16 09:21:00,2020/05/16 14:55:00
