,code,name,addr,latitude,longitude,remain_stat,stock_at,created_at
0,12817279,목동정문약국,서울특별시 양천구 목동동로 435 (목동),37.5375046,126.8849301,break,2020/05/16 08:56:00,2020/05/16 15:00:00
1,12857793,청솔약국,서울특별시 양천구 월정로 50 (신월동),37.5245051,126.8426358,break,2020/05/16 10:12:00,2020/05/16 15:00:00
2,12857670,이안약국,서울특별시 양천구 국회대로 252 (신정동),37.5292584,126.8630375,break,2020/05/15 09:15:00,2020/05/16 15:00:00
3,12854671,사랑약국,"서울특별시 양천구 목동중앙남로 3 4층 (목동, 선훈아이엔지빌딩)",37.5349643,126.8693135,break,2020/05/16 10:52:00,2020/05/16 15:00:00
4,11865881,신정이화약국,서울특별시 양천구 신월로 304 1층 (신정동),37.5210046,126.8547657,break,2020/05/16 08:58:00,2020/05/16 15:00:00
5,11866951,프라자약국,서울특별시 양천구 중앙로32길 55 (신정동),37.5198144,126.8597468,break,2020/05/16 13:55:00,2020/05/16 15:00:00
6,11870702,목동파라곤약국,서울특별시 양천구 목동서로 155 (목동),37.5299683,126.8752425,break,2020/05/15 12:06:00,2020/05/16 15:00:00
7,12849847,이펜약국,서울특별시 양천구 신정이펜2로 12 105호 (신정동),37.5125939,126.8328106,break,2020/05/16 08:30:00,2020/05/16 15:00:00
8,12848859,유명약국,서울특별시 양천구 신월로 164 (신월동),37.5177576,126.8420198,break,2020/05/16 10:29:00,2020/05/16 15:00:00
9,11878231,가까운온누리약국,서울특별시 양천구 목동서로 349 센트럴프라자 106호 (신정동),37.5174204,126.8653309,break,2020/05/16 11:39:00,2020/05/16 15:00:00
10,12845175,행복한문약국,서울특별시 양천구 남부순환로 356 1층 (신월동),37.5352006,126.8282979,break,2020/05/16 10:03:00,2020/05/16 15:00:00
11,11887214,강약국,서울특별시 양천구 화곡로 105 (신월동),37.5400715,126.8336112,break,2020/05/16 09:09:00,2020/05/16 15:00:00
12,12845035,백석메디칼약국,서울특별시 양천구 곰달래로 47 (신월동),37.5301701,126.8380462,break,2020/05/16 08:56:00,2020/05/16 15:00:00
13,12842222,건강온누리약국,서울특별시 양천구 오목로 350 (목동),37.524143,126.876295,break,2020/05/16 10:13:00,2020/05/16 15:00:00
14,12841501,서남온누리약국,"서울특별시 양천구 신정이펜2로 14 (신정동, 서남 프라자2)",37.5124889,126.8324369,break,2020/05/13 10:09:00,2020/05/16 15:00:00
15,12841285,신목약국,서울특별시 양천구 목동중앙로 85 지하1층 104호 (목동),37.5370105,126.8715085,break,2020/05/16 14:19:00,2020/05/16 15:00:00
16,12841226,레스큐약국,서울특별시 양천구 목동서로 49 (목동),37.5370783,126.88051,break,2020/05/16 11:23:00,2020/05/16 15:00:00
17,12839086,목동벧엘약국,서울특별시 양천구 목동동로 430 (목동),37.5366087,126.8849425,break,2020/05/15 11:37:00,2020/05/16 15:00:00
18,12836664,한울약국,서울특별시 양천구 오목로 299 (목동),37.5260024,126.8703909,break,2020/05/15 09:54:00,2020/05/16 15:00:00
19,12833266,신국경약국,서울특별시 양천구 목동중앙본로 113 2동 104호 (목동),37.5457178,126.8708727,break,2020/05/16 13:25:00,2020/05/16 15:00:00
20,12832049,메디팜금빛약국,서울특별시 양천구 목동동로 379 (목동),37.5356051,126.8787596,break,2020/05/16 09:05:00,2020/05/16 15:00:00
21,12811483,청송온누리약국,서울특별시 양천구 목동중앙본로7길 45 108호 (목동),37.5391326,126.8663601,break,2020/05/16 14:21:00,2020/05/16 15:00:00
22,12828637,오렌지라임약국,서울특별시 양천구 목동로 223 2층 (신정동),37.5283302,126.8637386,break,2020/05/16 08:28:00,2020/05/16 15:00:00
23,12815268,온누리유미숙약국,서울특별시 양천구 목동로 185 (신정동),37.5249981,126.8642345,break,2020/05/16 10:19:00,2020/05/16 15:00:00
