,code,name,addr,latitude,longitude,remain_stat,stock_at,created_at
0,12841412,래미안스타약국,"서울특별시 용산구 한강대로 95 지하2층 RB208호 (한강로2가, 래미안용산)",37.5288088,126.9666284,break,2020/05/15 11:14:00,2020/05/16 15:00:00
1,11839104,신용산약국,서울특별시 용산구 한강대로15길 9-18 (한강로3가),37.5253509,126.963056,break,2020/05/14 11:10:00,2020/05/16 15:00:00
2,12841129,현대온누리약국,"서울특별시 용산구 이촌로 280 1층 1호 (이촌동, 명지상가)",37.5184527,126.9778801,break,2020/05/16 08:55:00,2020/05/16 15:00:00
3,12868744,신용산수약국,"서울특별시 용산구 한강대로 109 용성비즈텔 지하2층 227,233호 (한강로2가)",37.5300048,126.9681669,break,2020/05/16 08:34:00,2020/05/16 15:00:00
4,11876255,홍주약국,"서울특별시 용산구 이촌로 206 3층 (이촌동, 국민은행PB센터)",37.5209,126.969866,break,2020/05/16 08:40:00,2020/05/16 15:00:00
5,11838230,신명약국,서울특별시 용산구 후암로28길 38 남산리치빌 (후암동),37.5493293,126.9792786,break,2020/05/15 11:08:00,2020/05/16 15:00:00
6,12849146,소아건강약국,서울특별시 용산구 청파로93길 5 1층 (서계동),37.5542693,126.9685446,break,2020/05/15 17:51:00,2020/05/16 15:00:00
7,12850268,수약국,서울특별시 용산구 백범로 283 (효창동),37.5396697,126.9608751,break,2020/05/16 07:57:00,2020/05/16 15:00:00
8,12865621,이촌약국,"서울특별시 용산구 이촌로 224 301호 (이촌동, 리버뷰맨션)",37.520349,126.971831,break,2020/05/15 11:38:00,2020/05/16 15:00:00
9,12835579,푸른약국,서울특별시 용산구 후암로 41 1층 (후암동),37.549582,126.9772883,break,2020/05/15 09:45:00,2020/05/16 15:00:00
10,12832031,사랑온누리약국,"서울특별시 용산구 이촌로 224 2층 207,208,219호 (이촌동, 리버뷰맨션)",37.5201654,126.9718889,break,2020/05/16 08:53:00,2020/05/16 15:00:00
11,11838922,보림사약국,서울특별시 용산구 한강대로62나길 20 (용산동3가),37.5343931,126.9748545,break,2020/05/15 11:47:00,2020/05/16 15:00:00
12,11837969,성도약국,서울특별시 용산구 회나무로 25 (이태원동),37.5395466,126.9896019,break,2020/05/16 14:06:00,2020/05/16 15:00:00
13,11890746,구일온누리약국,서울특별시 용산구 이촌로 303 21동 109호 (이촌동),37.518052,126.98116,break,2020/05/16 12:14:00,2020/05/16 15:00:00
