,code,name,addr,latitude,longitude,remain_stat,stock_at,created_at
0,12829021,고은약국,서울특별시 은평구 은평로 8 (신사동),37.5967443,126.9097594,break,2020/05/15 08:55:00,2020/05/16 15:00:00
1,12865087,녹번온누리약국,서울특별시 은평구 통일로 626 유림빌딩 101호 (녹번동),37.6024806,126.9354251,break,2020/05/16 14:05:00,2020/05/16 15:00:00
2,11850167,봄약국,서울특별시 은평구 증산서길 73 (증산동),37.5831827,126.9060539,break,2020/05/16 13:41:00,2020/05/16 15:00:00
3,12863921,불광다올약국,서울특별시 은평구 통일로 728 1층 (불광동),37.6105799,126.9301915,break,2020/05/16 10:54:00,2020/05/16 15:00:00
4,11850353,세원약국,서울특별시 은평구 갈현로 8 (신사동),37.5985583,126.9104122,break,2020/05/16 09:09:00,2020/05/16 15:00:00
5,12817104,우리들약국,서울특별시 은평구 연서로 35 1층 (역촌동),37.6022741,126.915578,break,2020/05/16 10:36:00,2020/05/16 15:00:00
6,12862932,이층약국,"서울특별시 은평구 연서로 9 2층 205(상가)호 (역촌동, 센타폴리스)",37.6000995,126.9155684,break,2020/05/16 08:58:00,2020/05/16 15:00:00
7,12861341,연세희망약국,서울특별시 은평구 연서로 175 (갈현동),37.6145489,126.9175499,break,2020/05/16 09:57:00,2020/05/16 15:00:00
8,12813010,다정한약국,"서울특별시 은평구 역말로 40 (역촌동, 무궁화빌딩)",37.6056698,126.9147139,break,2020/05/16 08:57:00,2020/05/16 15:00:00
9,12843440,수약국,서울특별시 은평구 은평로 193-2 (녹번동),37.6021329,126.9289299,break,2020/05/14 17:25:00,2020/05/16 15:00:00
10,12809101,예진약국,"서울특별시 은평구 갈현로 81 (역촌동, 그린빌딩)",37.6053183,126.9103195,break,2020/05/16 13:51:00,2020/05/16 15:00:00
11,12809080,정다운약국,서울특별시 은평구 진흥로 137 1층 (대조동),37.6082769,126.9251043,break,2020/05/13 18:37:00,2020/05/16 15:00:00
12,12827134,늘푸른약국,서울특별시 은평구 통일로 871 (갈현동),37.6205912,126.9197266,break,2020/05/13 11:32:00,2020/05/16 15:00:00
13,12844365,비타민약국,서울특별시 은평구 응암로 162 (응암동),37.586392,126.9161961,break,2020/05/13 14:01:00,2020/05/16 15:00:00
14,12852708,열린약국,서울특별시 은평구 은평로 197-2 (녹번동),37.6020126,126.9296154,break,2020/05/15 08:55:00,2020/05/16 15:00:00
15,11882140,온누리민생약국,서울특별시 은평구 통일로87길 5-10 1층 (갈현동),37.6228676,126.9188975,break,2020/05/15 08:45:00,2020/05/16 15:00:00
16,12806358,믿음메디칼약국,서울특별시 은평구 응암로 213 (응암동),37.5910163,126.9171406,break,2020/05/16 08:59:00,2020/05/16 15:00:00
17,12848891,올리브약국,서울특별시 은평구 응암로 308 (응암동),37.5987018,126.9213852,break,2020/05/16 10:20:00,2020/05/16 15:00:00
18,11889756,하나로약국,서울특별시 은평구 연서로 277-1 (불광동),37.6211546,126.9252099,break,2020/05/14 11:33:00,2020/05/16 15:00:00
19,12849928,베드로약국,서울특별시 은평구 통일로 709 (대조동),37.6091103,126.930805,break,2020/05/16 08:52:00,2020/05/16 15:00:00
20,12865559,시민약국,서울특별시 은평구 은평로 136 은경빌딩 104호 (응암동),37.6002712,126.9230552,break,2020/05/16 10:31:00,2020/05/16 15:00:00
21,12820954,청구프라자약국,서울특별시 은평구 통일로83길 5-6 (갈현동),37.6207009,126.919156,break,2020/05/15 18:42:00,2020/05/16 15:00:00
22,12849294,은평오렌지약국,"서울특별시 은평구 진관2로 29-21 113,114호 (진관동, 드림스퀘어)",37.6357288,126.9193479,break,2020/05/16 09:31:00,2020/05/16 15:00:00
23,11849525,선우약국,"서울특별시 은평구 은평로 52 (신사동, 명성빌딩)",37.598462,126.9136731,break,2020/05/16 11:15:00,2020/05/16 15:00:00
24,11849517,성환약국,서울특별시 은평구 진흥로1길 23 (역촌동),37.6025679,126.9184218,break,2020/05/16 09:14:00,2020/05/16 15:00:00
25,12866822,녹번건강약국,서울특별시 은평구 통일로 630-1 지하1층 B101-1호 (녹번동),37.6031576,126.937484,break,2020/05/16 09:31:00,2020/05/16 15:00:00
26,12831298,유성약국,"서울특별시 은평구 통일로 741 2층 (대조동, 이연빌딩)",37.6114224,126.9286013,break,2020/05/15 12:05:00,2020/05/16 15:00:00
27,12866369,민들레약국,서울특별시 은평구 응암로 179 1층 (응암동),37.5880594,126.9164849,break,2020/05/15 11:11:00,2020/05/16 15:00:00
28,12866661,안녕약국,서울특별시 은평구 불광로 119 불광빌딩 1층 (불광동),37.6175007,126.9329565,break,2020/05/16 13:53:00,2020/05/16 15:00:00
29,11835001,시장약국,서울특별시 은평구 연서로 257 (불광동),37.6201712,126.9232125,break,2020/05/16 09:47:00,2020/05/16 15:00:00
30,11848847,새우리약국,서울특별시 은평구 통일로 715 1층 (대조동),37.6094203,126.9303002,break,2020/05/16 10:56:00,2020/05/16 15:00:00
31,12866610,코코약국,"서울특별시 은평구 통일로 610 3층 310호 (녹번동, 힐스테이트 녹번)",37.6019869,126.9363536,empty,2020/03/16 10:21:00,2020/03/22 23:55:00
32,12809471,수정약국,서울특별시 은평구 응암로 328 (응암동),37.6001276,126.922593,empty,2020/05/16 08:06:00,2020/05/16 15:00:00
33,12866997,팜스토리약국,서울특별시 은평구 은평로 111 은평이마트 8층 (응암동),37.6008422,126.9205287,empty,2020/04/25 09:34:00,2020/04/26 23:55:00
34,12857254,미르약국,"서울특별시 은평구 백련산로 84 211호 (응암동, 백련산 힐스테이트 2차(211동상가))",37.5929895,126.9236269,empty,2020/05/16 09:01:00,2020/05/16 15:00:00
35,12843881,구파발성모약국,서울특별시 은평구 진관2로 12 메이플카운티2차 1층 108호 (진관동),37.6342833,126.9185383,empty,2020/05/16 09:02:00,2020/05/16 15:00:00
36,12867101,주차편한약국,"서울특별시 은평구 통일로 1030 은평헤스티아 지하1층 103,104호 (진관동)",37.6342661,126.9180072,empty,2020/05/16 08:39:00,2020/05/16 15:00:00
