,code,name,addr,latitude,longitude,remain_stat,stock_at,created_at
0,12857041,백수약국,서울특별시 종로구 종로 233-1 신화빌딩 (종로5가),37.5712908,127.0037613,break,2020/05/16 08:00:00,2020/05/16 15:00:00
1,11859334,중앙약국,서울특별시 종로구 경교장길 5 1.2층 (교남동),37.5674148,126.9656863,break,2020/05/16 09:22:00,2020/05/16 15:00:00
2,12864994,이화약국,서울특별시 종로구 대학로5길 53 1층 (연건동),37.5795758,127.0014749,break,2020/05/16 13:20:00,2020/05/16 15:00:00
3,12865206,참자연약국,"서울특별시 종로구 송월길 99 1층 2156호 (홍파동, 경희궁자이 2단지)",37.5690023,126.9639289,break,2020/05/16 09:53:00,2020/05/16 15:00:00
4,12854492,대박약국,"서울특별시 종로구 종로 19 3층 327호 (종로1가, 르메이에르종로타운)",37.5706126,126.979753,break,2020/05/16 10:08:00,2020/05/16 15:00:00
5,12854042,대학약국,"서울특별시 종로구 창경궁로 160 1,2층 (원남동)",37.5767149,126.9975187,break,2020/05/15 08:43:00,2020/05/16 15:00:00
6,12853631,햇살약국,서울특별시 종로구 자하문로 58 1층 (창성동),37.5812528,126.9712699,break,2020/05/16 13:18:00,2020/05/16 15:00:00
7,12866407,종로백제약국,서울특별시 종로구 종로 235 백제약국 1층 (종로5가),37.5712609,127.0039946,break,2020/05/16 08:54:00,2020/05/16 15:00:00
8,11831286,새성은약국,서울특별시 종로구 돈화문로 35-1 103호 (묘동),37.5716875,126.9916222,break,2020/05/16 12:48:00,2020/05/16 15:00:00
9,11831049,국일약국,서울특별시 종로구 종로16길 12 (관철동),37.5695603,126.9885196,break,2020/05/16 13:37:00,2020/05/16 15:00:00
10,12860166,경희궁햇살약국,"서울특별시 종로구 송월길 99 203동 2218호 (홍파동, 경희궁자이)",37.5700269,126.9630712,break,2020/04/30 11:12:00,2020/05/03 23:55:00
11,12846813,열린온누리약국,"서울특별시 종로구 숭인동길 21 (숭인동, 종로청계힐스테이트상가 가동 101호)",37.5760646,127.0211504,break,2020/05/16 08:32:00,2020/05/16 15:00:00
12,12808831,정문약국,서울특별시 종로구 창경궁로 162-2 (원남동),37.5768757,126.9976973,break,2020/05/16 11:27:00,2020/05/16 15:00:00
13,11833564,세검약국,서울특별시 종로구 자하문로 306 (홍지동),37.599738,126.9590915,break,2020/05/15 16:15:00,2020/05/16 15:00:00
14,12809144,참약국,"서울특별시 종로구 종로 22 606호 (서린동, 인주빌딩)",37.5698831,126.9797107,break,2020/05/16 11:43:00,2020/05/16 15:00:00
15,12830895,안국온누리약국,"서울특별시 종로구 삼일대로 461 101동 203호 (경운동, 운현궁에스케이허브)",37.5761093,126.9852118,break,2020/05/15 07:45:00,2020/05/16 15:00:00
16,12837229,온유약국,서울특별시 종로구 종로 205 (종로5가),37.5712072,127.0005649,break,2020/05/16 13:09:00,2020/05/16 15:00:00
17,12827126,종로세란약국,서울특별시 종로구 종로41길 4 (종로6가),37.5715015,127.0068761,break,2020/05/16 10:23:00,2020/05/16 15:00:00
18,12824739,늘푸른약국,서울특별시 종로구 새문안로 17 2층 (평동),37.5673583,126.9676,break,2020/05/16 08:50:00,2020/05/16 15:00:00
19,12869791,위드팜삼정바로약국,"서울특별시 종로구 경교장길 35 3152,3153,3154호 (평동, 경희궁자이 3단지)",37.5691438,126.9659909,break,2020/05/16 12:58:00,2020/05/16 15:00:00
20,12868396,마이팜약국,서울특별시 종로구 통일로16길 2 (무악동),37.5754533,126.9573116,break,2020/05/15 15:42:00,2020/05/16 15:00:00
21,11824115,튼튼약국,서울특별시 종로구 창경궁로34길 18-5 1층 (명륜2가),37.5841148,127.0008253,break,2020/05/16 08:46:00,2020/05/16 15:00:00
22,12840165,수약국,"서울특별시 종로구 종로 33 지하1층 B104호 (청진동, 그랑서울)",37.5708303,126.9814874,empty,2020/05/16 09:54:00,2020/05/16 15:00:00
23,12852244,바로약국,서울특별시 종로구 종로 33 지하1층 137호 (청진동),37.5706853,126.9813039,empty,2020/05/16 08:40:00,2020/05/16 15:00:00
24,11887168,희망약국,서울특별시 종로구 율곡로 204 (연건동),37.5758847,127.0015328,empty,2020/05/16 08:06:00,2020/05/16 15:00:00
25,12824585,푸른온누리약국,서울특별시 종로구 새문안로 19 (평동),37.5674431,126.9679122,empty,2020/05/16 08:36:00,2020/05/16 15:00:00
26,12812684,건강한세상약국,서울특별시 종로구 새문안로 21 (평동),37.5675159,126.9679867,empty,2020/05/16 08:47:00,2020/05/16 15:00:00
27,12850152,메디칼약국,"서울특별시 종로구 경교장길 35 3136호 (평동, 경희궁자이 3단지)",37.56759743,126.9659191,empty,2020/05/16 08:42:00,2020/05/16 15:00:00
28,12854794,메디칼서울약국,서울특별시 종로구 대학로9길 6 (명륜4가),37.5818199,127.0015281,empty,2020/05/16 09:01:00,2020/05/16 15:00:00
29,12850039,안국3층약국,서울특별시 종로구 율곡로 47 305호 (안국동),37.5763394,126.9845959,empty,2020/05/16 08:57:00,2020/05/16 15:00:00
30,12844730,인앤아웃약국,서울특별시 종로구 종로 19 421호 (종로1가),37.570463,126.9800288,empty,2020/05/16 11:01:00,2020/05/16 15:00:00
31,12800384,서울온누리약국,"서울특별시 종로구 대학로5길 54 1층 (연건동, 우욱하우스)",37.579457,127.0014812,empty,2020/03/28 20:26:00,2020/03/29 23:55:00
32,12852562,남영약국,"서울특별시 종로구 삼일대로 461 (경운동, 운현궁SK허브)",37.5755758,126.9855584,empty,2020/05/16 08:24:00,2020/05/16 15:00:00
33,12849626,신서대문대학약국,"서울특별시 종로구 경교장1길 1 1,2층 (교남동)",37.5675074,126.9656492,empty,2020/05/16 08:56:00,2020/05/16 15:00:00
34,12831140,현대온누리약국,서울특별시 종로구 율곡로 75 지하1층 (계동),37.578014,126.987517,empty,2020/05/15 09:11:00,2020/05/16 15:00:00
35,11830271,태약국,서울특별시 종로구 종로 199-1 (종로4가),37.5711459,126.9998741,empty,2020/04/03 09:08:00,2020/04/05 23:55:00
36,11805668,대흥사약국,서울특별시 종로구 돈화문로6가길 40 (봉익동),37.5725023,126.9922369,empty,2020/05/15 15:48:00,2020/05/16 15:00:00
37,12867985,참조은약국,서울특별시 종로구 종로 266 동대문종합시장 A동 7층 705호 (종로6가),37.5701392,127.008185,empty,2020/05/16 08:21:00,2020/05/16 15:00:00
38,12869171,송이약국,서울특별시 종로구 종로 19 르메이에르종로타운1 2층 206-1호 (종로1가),37.5708345,126.9798606,empty,2020/05/15 17:19:00,2020/05/16 15:00:00
39,11829397,인성약국,서울특별시 종로구 통일로 250 (무악동),37.5747345,126.957956,empty,2020/03/10 11:43:00,2020/03/15 23:55:00
40,12825620,사랑약국,서울특별시 종로구 진흥로 432 1층 3호 (구기동),37.6082018,126.9566038,few,2020/05/13 09:43:00,2020/05/16 15:00:00
41,11896345,새명성약국,서울특별시 종로구 새문안로 85 1층 (신문로1가),37.5704241,126.9741249,few,2020/05/16 10:51:00,2020/05/16 15:00:00
42,11830425,시민약국,서울특별시 종로구 자하문로 2 (적선동),37.5763638,126.9727473,few,2020/05/16 10:08:00,2020/05/16 15:00:00
43,12850594,명문약국,서울특별시 종로구 통일로 254 1층 (무악동),37.574939,126.9577007,few,2020/05/16 08:47:00,2020/05/16 15:00:00
44,12811823,보광약국,서울특별시 종로구 대학로 93-3 1층 (연건동),37.5794911,127.0017435,few,2020/05/16 09:24:00,2020/05/16 15:00:00
45,11831561,보성온누리약국,서울특별시 종로구 명륜길 22 (명륜1가),37.5884254,126.995691,few,2020/05/16 10:35:00,2020/05/16 15:00:00
46,11882042,한마음약국,서울특별시 종로구 창경궁로 158 (원남동),37.576545,126.997502,few,2020/05/16 08:39:00,2020/05/16 15:00:00
47,12842681,신백제약국,서울특별시 종로구 종로 243 1층 (종로5가),37.5713197,127.0049049,few,2020/05/15 10:43:00,2020/05/16 15:00:00
48,11831588,정민약국,서울특별시 종로구 대학로9길 37 (명륜4가),37.5819748,127.0000178,few,2020/05/16 10:17:00,2020/05/16 15:00:00
49,12859711,하트약국,서울특별시 종로구 대학로 128 1층 (동숭동),37.5827062,127.0021755,few,2020/05/16 11:06:00,2020/05/16 15:00:00
50,12840611,신아산약국,서울특별시 종로구 종로 255-2 1층 (종로5가),37.5713409,127.0062507,plenty,2020/05/16 09:58:00,2020/05/16 15:00:00
51,12869996,호수약국,서울특별시 종로구 삼봉로 57 호수빌딩 지하1층 (수송동),37.5725615,126.9804738,plenty,2020/05/16 08:59:00,2020/05/16 15:00:00
52,12867357,세검정약국,서울특별시 종로구 세검정로6길 104 1층 (신영동),37.6016358,126.9617969,plenty,2020/05/16 09:00:00,2020/05/16 15:00:00
53,12837211,종로5가미래약국,서울특별시 종로구 종로 211-1 (종로5가),37.5712127,127.0012655,plenty,2020/05/15 16:26:00,2020/05/16 15:00:00
54,12837466,제신약국,"서울특별시 종로구 종로 266 D동 (종로6가, 동대문종합시장)",37.570876,127.007371,plenty,2020/05/16 10:54:00,2020/05/16 15:00:00
55,12869864,내자약국,"서울특별시 종로구 사직로 107 1층 (내자동, 한빛빌딩)",37.5763351,126.9707733,plenty,2020/05/16 08:12:00,2020/05/16 15:00:00
56,12868728,대한약국,"서울특별시 종로구 대학로5길 57 1,2층 (연건동)",37.5796275,127.0015857,plenty,2020/05/15 08:41:00,2020/05/16 15:00:00
57,12837822,종로우리약국,서울특별시 종로구 종로 202 1층 (종로4가),37.5706916,127.0000761,plenty,2020/05/16 11:57:00,2020/05/16 15:00:00
58,12845132,봄약국,서울특별시 종로구 지봉로 37-1 1층 (창신동),37.5732589,127.0153386,plenty,2020/05/16 13:37:00,2020/05/16 15:00:00
59,12869821,유한약국,서울특별시 종로구 종로 230-2 1층 (종로5가),37.5707848,127.0034135,plenty,2020/05/16 08:21:00,2020/05/16 15:00:00
60,12869783,유약국,"서울특별시 종로구 경교장길 35 3146,3147호 (평동, 경희궁자이 3단지)",37.5680144,126.9663698,plenty,2020/05/16 10:30:00,2020/05/16 15:00:00
61,12838314,플러스약국,"서울특별시 종로구 종로 78 1층 (종로2가, 미려빌딩)",37.569884,126.9860582,plenty,2020/05/16 10:40:00,2020/05/16 15:00:00
62,12843270,우정약국,서울특별시 종로구 종로 200-4 제우빌딩 (종로4가),37.5705713,126.9998936,plenty,2020/05/16 11:44:00,2020/05/16 15:00:00
63,12838942,미소약국,"서울특별시 종로구 종로 115 403호 (종로3가, 낙원빌딩)",37.5706126,126.990473,plenty,2020/05/14 11:55:00,2020/05/16 15:00:00
64,12846988,신두산약국,서울특별시 종로구 지봉로 39-1 1층 (창신동),37.5735825,127.0154823,plenty,2020/05/16 08:57:00,2020/05/16 15:00:00
