,code,stock_at,collect_at,remain_stat
0,11800208,2020-03-15 09:26:00,2020-03-16 00:00:00,empty
1,11800208,2020-03-16 08:27:00,2020-03-16 08:30:00,plenty
2,11800208,2020-03-16 08:27:00,2020-03-16 08:55:00,some
3,11800208,2020-03-16 08:27:00,2020-03-16 09:20:00,break
4,11800208,2020-03-16 08:27:00,2020-03-16 12:20:00,some
5,11800208,2020-03-16 08:27:00,2020-03-16 12:35:00,few
6,11800208,2020-03-16 08:27:00,2020-03-16 12:45:00,some
7,11800208,2020-03-16 08:27:00,2020-03-16 12:55:00,empty
8,11800208,2020-03-16 08:27:00,2020-03-16 20:00:00,few
9,11800208,2020-03-16 08:27:00,2020-03-16 20:05:00,empty
10,11800208,2020-03-17 08:04:00,2020-03-17 08:10:00,plenty
11,11800208,2020-03-17 08:04:00,2020-03-17 08:50:00,some
12,11800208,2020-03-17 08:04:00,2020-03-17 09:50:00,few
13,11800208,2020-03-17 08:04:00,2020-03-17 11:40:00,empty
14,11800208,2020-03-17 08:04:00,2020-03-17 14:10:00,few
15,11800208,2020-03-17 08:04:00,2020-03-17 14:15:00,empty
16,11800208,2020-03-18 08:09:00,2020-03-18 08:15:00,break
17,11800208,2020-03-18 08:09:00,2020-03-18 10:10:00,empty
18,11800208,2020-03-18 08:09:00,2020-03-18 17:40:00,break
19,11800208,2020-03-18 08:09:00,2020-03-18 18:00:00,empty
20,11800208,2020-03-18 08:09:00,2020-03-18 18:10:00,break
21,11800208,2020-03-18 08:09:00,2020-03-18 18:30:00,empty
22,11800208,2020-03-19 08:18:00,2020-03-19 08:25:00,break
23,11800208,2020-03-19 08:18:00,2020-03-19 14:25:00,empty
24,11800208,2020-03-19 08:18:00,2020-03-19 17:30:00,break
25,11800208,2020-03-20 08:15:00,2020-03-20 11:45:00,few
26,11800208,2020-03-20 08:15:00,2020-03-20 11:55:00,break
27,11800208,2020-03-23 08:21:00,2020-03-23 09:05:00,some
28,11800208,2020-03-23 08:21:00,2020-03-23 09:10:00,break
29,11800208,2020-03-30 08:12:00,2020-03-30 13:20:00,some
30,11800208,2020-03-30 08:12:00,2020-03-30 14:30:00,break
31,11800208,2020-03-30 08:12:00,2020-03-30 17:30:00,plenty
32,11800208,2020-03-30 08:12:00,2020-03-30 18:05:00,break
33,11800208,2020-04-02 08:16:00,2020-04-02 11:55:00,plenty
34,11800208,2020-04-02 08:16:00,2020-04-02 12:50:00,some
35,11800208,2020-04-02 08:16:00,2020-04-02 13:35:00,plenty
36,11800208,2020-04-02 08:16:00,2020-04-02 15:45:00,break
37,11800208,2020-04-02 08:16:00,2020-04-02 19:25:00,some
38,11800208,2020-04-03 08:12:00,2020-04-03 08:20:00,break
39,11800208,2020-04-03 08:12:00,2020-04-03 16:55:00,plenty
40,11800208,2020-04-03 08:12:00,2020-04-03 17:35:00,some
41,11800208,2020-04-05 09:01:00,2020-04-06 00:00:00,break
42,11800208,2020-04-06 08:16:00,2020-04-06 08:20:00,plenty
43,11800208,2020-04-06 08:16:00,2020-04-06 09:10:00,some
44,11800208,2020-04-06 08:16:00,2020-04-06 09:20:00,break
45,11800208,2020-04-06 08:16:00,2020-04-06 09:30:00,empty
46,11800208,2020-04-06 08:16:00,2020-04-06 09:35:00,break
47,11800208,2020-04-06 08:16:00,2020-04-06 09:40:00,empty
48,11800208,2020-04-06 08:16:00,2020-04-06 09:45:00,break
49,11800208,2020-04-06 08:16:00,2020-04-06 09:55:00,empty
50,11800208,2020-04-06 08:16:00,2020-04-06 10:15:00,break
51,11800208,2020-04-06 08:16:00,2020-04-06 11:40:00,empty
52,11800208,2020-04-06 08:16:00,2020-04-06 11:45:00,break
53,11800208,2020-04-06 08:16:00,2020-04-06 14:20:00,empty
54,11800208,2020-04-06 08:16:00,2020-04-06 14:25:00,break
55,11800208,2020-04-06 08:16:00,2020-04-06 18:05:00,empty
56,11800208,2020-04-06 08:16:00,2020-04-06 18:10:00,break
57,11800208,2020-04-06 08:16:00,2020-04-06 19:20:00,empty
58,11800208,2020-04-07 08:13:00,2020-04-07 08:20:00,break
59,11800208,2020-04-07 08:13:00,2020-04-07 08:30:00,plenty
60,11800208,2020-04-07 08:13:00,2020-04-07 09:00:00,some
61,11800208,2020-04-07 08:13:00,2020-04-07 09:05:00,break
62,11800208,2020-04-07 08:13:00,2020-04-07 12:00:00,some
